date,threshold,forecasted_max,actual_max,market_prob,model_prob,edge,bet_size,bet_won,profit,bankroll
2025-02-01,≥46,47.4,41.3,0.41,0.6194986316539881,0.2094986316539881,50.0,False,-50.0,950.0
2025-03-04,49-50,49.7,52.1,0.095,0.1515139959387222,0.0565139959387222,14.831021033642587,False,-14.831021033642587,935.1689789663574
2025-03-09,53-54,54.0,49.9,0.055,0.1533005642372297,0.0983005642372297,24.319481028980665,False,-24.319481028980665,910.8494979373768
2025-03-10,≥64,65.3,62.2,0.195,0.6046725400619148,0.4096725400619148,45.54247489686884,False,-45.54247489686884,865.3070230405078
2025-03-13,45-46,47.6,50.5,0.065,0.1303276244183958,0.0653276244183957,15.114559413847712,False,-15.114559413847712,850.1924636266601
2025-03-17,54-55,57.2,58.0,0.0505,0.1112220290083219,0.0607220290083218,13.592788688518883,False,-13.592788688518883,836.5996749381412
2025-03-28,64-65,64.6,59.8,0.085,0.1504772216234216,0.0654772216234215,14.96672741147736,False,-14.96672741147736,821.6329475266639
2025-04-05,≥56,57.6,53.3,0.415,0.6486106906939769,0.2336106906939769,41.0816473763332,False,-41.0816473763332,780.5513001503307
2025-04-15,≥67,69.8,66.2,0.145,0.8012293631641607,0.6562293631641607,39.027565007516536,False,-39.027565007516536,741.5237351428142
2025-04-19,≥86,86.1,80.2,0.1075,0.4211360729330783,0.3136360729330783,37.07618675714071,False,-37.07618675714071,704.4475483856735
2025-04-20,≥71,73.1,69.3,0.63,0.7173856033140574,0.0873856033140574,35.222377419283674,False,-35.222377419283674,669.2251709663898
2025-04-24,≥76,73.8,78.3,0.055,0.1380371603342933,0.0830371603342933,14.70120577282566,True,252.5934446421864,921.818615608576
2025-05-02,≥83,82.3,84.6,0.0585,0.305509253657842,0.247009253657842,46.090930780428806,True,741.7882278593798,1663.606843467956
2025-05-03,≥79,81.7,81.2,0.735,0.7902579319688989,0.0552579319688989,83.1803421733978,True,29.990191395850907,1693.5970348638068
2025-05-05,59-60,60.5,65.8,0.095,0.1517675398036693,0.0567675398036693,26.55838041105181,False,-26.55838041105181,1667.038654452755
2025-05-08,76-77,75.7,74.1,0.08,0.1323489278078924,0.0523489278078924,23.71404515622647,False,-23.71404515622647,1643.3246092965285
2025-05-08,≥78,75.7,74.1,0.055,0.1296843577660357,0.0746843577660357,32.46842408635788,False,-32.46842408635788,1610.856185210171
2025-05-10,≥75,74.7,68.8,0.105,0.3617428644917804,0.2567428644917804,80.54280926050853,False,-80.54280926050853,1530.3133759496625
2025-05-11,78-79,80.0,73.9,0.07,0.1447943689329842,0.0747943689329842,30.76850086662894,False,-30.76850086662894,1499.5448750830333
2025-05-14,≤61,62.4,67.6,0.11,0.3805013683460118,0.2705013683460118,74.97724375415167,False,-74.97724375415167,1424.5676313288816
2025-05-15,≤65,67.3,72.6,0.14,0.257039187672672,0.1170391876726719,48.468092545207774,False,-48.468092545207774,1376.0995387836738
2025-05-17,≥86,83.9,78.3,0.09,0.1467495622602088,0.0567495622602088,21.45413364078263,False,-21.45413364078263,1354.6454051428911
2025-05-21,55,56.4,57.1,0.0575,0.1465959968445687,0.0890959968445687,32.0141864037455,False,-32.0141864037455,1322.6312187391457
2025-05-31,66-67,68.9,67.1,0.065,0.1212006623074542,0.0562006623074542,19.875066973704644,False,-19.875066973704644,1302.756151765441
2025-06-06,87-88,86.0,87.1,0.06,0.1102499732781828,0.0502499732781828,17.41049516335153,True,272.7644242258407,1575.5205759912817
2025-06-09,≤69,63.6,69.4,0.811,0.9900362219038108,0.1790362219038108,78.77602879956409,False,-78.77602879956409,1496.7445471917176
2025-06-18,83-84,85.7,82.1,0.055,0.1273997277968148,0.0723997277968148,28.667697830171218,False,-28.667697830171218,1468.0768493615465
2025-06-24,≥105,102.9,104.4,0.055,0.1467495622602088,0.0917495622602088,35.63370589769007,False,-35.63370589769007,1432.4431434638564
