date,peak_temp,avg_dewpoint,avg_humidity,avg_wind,max_gust,avg_visibility
2018-04-26,70.0,45.55172413793103,62.68034482758621,8.724137931034482,29.0,7.896551724137931
2018-04-27,57.0,46.13513513513514,80.81297297297297,7.486486486486487,17.0,5.918918918918919
2018-04-28,65.0,48.464285714285715,72.94607142857143,7.285714285714286,22.0,8.714285714285714
2018-04-29,57.0,40.165517241379305,64.29206896551725,10.517241379310345,29.0,9.620689655172415
2018-04-30,51.0,32.96,54.0512,13.68,31.0,10.0
2018-05-01,81.0,32.416666666666664,33.092083333333335,7.75,,10.0
2018-05-02,89.0,34.916666666666664,21.299166666666668,11.083333333333334,28.0,10.0
2018-05-03,93.0,52.16,40.2348,9.6,35.0,9.72
2018-05-04,81.0,60.083333333333336,57.46125,7.375,26.0,10.0
2018-05-05,77.0,41.5,39.59375,10.083333333333334,29.0,10.0
2018-05-06,68.0,48.291666666666664,65.02208333333333,7.166666666666667,16.0,10.0
2018-05-07,75.0,49.44444444444444,63.54888888888889,5.592592592592593,,10.0
2018-05-08,71.0,48.166666666666664,61.969166666666666,5.541666666666667,,10.0
2018-05-09,74.0,47.36363636363637,57.55409090909091,5.363636363636363,19.0,10.0
2018-05-10,65.0,53.05625,77.973125,5.9375,18.0,9.8125
2018-05-11,72.0,40.574999999999996,44.440416666666664,9.125,27.0,10.0
2018-05-12,63.0,48.80625,78.1953125,7.28125,,9.28125
2018-05-13,55.0,48.696969696969695,83.28121212121212,6.545454545454546,,9.606060606060606
2018-05-14,70.0,52.42857142857143,83.22999999999999,4.5476190476190474,17.0,7.0476190476190474
2018-05-15,90.0,60.86046511627907,78.91023255813953,8.651162790697674,47.0,6.47953488372093
2018-05-16,65.0,55.556756756756755,88.42351351351351,7.891891891891892,,5.202432432432433
2018-05-17,73.0,57.43636363636364,85.91424242424243,4.848484848484849,,5.464848484848485
2018-05-18,67.0,47.175000000000004,60.065714285714286,10.25,22.0,9.178571428571429
2018-05-19,56.0,49.333333333333336,86.79923076923077,9.564102564102564,,3.8525641025641026
2018-05-20,83.0,60.333333333333336,73.587,8.233333333333333,24.0,6.65
2018-05-21,78.0,48.75,52.029583333333335,6.625,16.0,10.0
2018-05-22,69.0,51.12903225806452,70.45903225806451,4.580645161290323,,8.725806451612904
2018-05-23,82.0,56.0,70.26323529411764,5.294117647058823,,6.970588235294118
2018-05-24,85.0,43.666666666666664,36.755,7.173913043478261,20.0,10.0
2018-05-25,88.0,51.25,38.67375,10.25,25.0,10.0
2018-05-26,91.0,64.26923076923077,55.222692307692306,7.8076923076923075,16.0,10.0
2018-05-27,82.0,57.853658536585364,82.13121951219513,14.048780487804878,29.0,8.268292682926829
2018-05-28,69.0,53.0,75.81625,7.208333333333333,,10.0
2018-05-29,87.0,63.16,68.1564,5.52,,9.6
2018-05-30,76.0,59.77297297297297,83.24378378378378,7.5675675675675675,,6.732702702702703
2018-05-31,69.0,61.275,88.51525000000001,7.15,18.0,4.71225
2018-06-01,81.0,65.3875,86.759375,5.625,,4.451875
2018-06-02,87.0,66.42307692307692,69.85115384615385,7.730769230769231,19.0,9.807692307692308
2018-06-03,72.0,51.903225806451616,69.0516129032258,11.32258064516129,22.0,9.935483870967742
2018-06-04,70.0,51.410810810810815,78.93324324324325,9.783783783783784,17.0,6.972972972972973
2018-06-05,76.0,49.84,53.581199999999995,8.36,21.0,10.0
2018-06-06,70.0,49.083333333333336,59.44541666666667,6.833333333333333,,10.0
2018-06-07,71.0,53.041666666666664,67.65958333333333,8.458333333333334,20.0,10.0
2018-06-08,82.0,58.92,62.436800000000005,6.48,18.0,10.0
2018-06-09,80.0,54.708333333333336,50.47291666666666,6.875,,10.0
2018-06-10,72.0,51.166666666666664,54.199999999999996,4.833333333333333,,10.0
2018-06-11,73.0,47.791666666666664,55.909166666666664,7.583333333333333,,10.0
2018-06-12,74.0,47.25,50.60833333333333,8.5,24.0,10.0
2018-06-13,80.0,62.758620689655174,73.85689655172413,8.0,19.0,10.0
2018-06-14,85.0,52.192,44.4828,12.8,28.0,10.0
2018-06-15,76.0,50.458333333333336,48.77333333333333,8.916666666666666,21.0,10.0
2018-06-16,86.0,49.833333333333336,41.752916666666664,5.333333333333333,,10.0
2018-06-17,90.0,53.04,42.300399999999996,5.28,19.0,10.0
2018-06-18,92.0,66.6923076923077,58.46653846153846,10.384615384615385,34.0,9.961538461538462
2018-06-19,88.0,61.375,51.61291666666667,9.458333333333334,24.0,9.791666666666666
2018-06-20,83.0,56.625,53.62625,6.583333333333333,16.0,10.0
2018-06-21,86.0,62.69142857142857,73.38742857142857,6.685714285714286,,7.4714285714285715
2018-06-22,74.0,59.23571428571428,69.02392857142857,9.785714285714286,18.0,9.857142857142858
2018-06-23,66.0,57.59375,78.0165625,9.375,,9.875
2018-06-24,87.0,64.41025641025641,75.44794871794872,7.076923076923077,21.0,7.384615384615385
2018-06-25,81.0,54.88461538461539,52.85307692307693,9.653846153846153,24.0,10.0
2018-06-26,76.0,54.333333333333336,56.94375,9.583333333333334,20.0,10.0
2018-06-27,75.0,59.208333333333336,65.85708333333334,10.666666666666666,24.0,10.0
2018-06-28,86.0,69.09583333333333,80.57187499999999,9.23404255319149,19.0,8.604166666666666
2018-06-29,91.0,61.583333333333336,52.96625,7.708333333333333,17.0,10.0
